482,1231,5,976218582
983,1375,5,975102092
386,380,2,976303450
244,1265,4,976735530
629,1282,3,975784062
840,1372,4,1001366944
62,1946,4,977970154
88,1208,3,977695555
1000,595,5,975041752
852,1288,5,975347781
331,2027,3,979854939
45,1500,1,977990604
604,1867,3,975872639
798,1205,5,975408310
787,1799,4,975787602
692,1291,5,977701221
781,1408,4,975433418
580,1200,3,975971693
854,799,3,975352209
651,737,3,975709092
889,650,3,975255165
257,589,4,976673018
716,260,5,975557770
767,1441,4,975453665
952,1635,5,975138649
293,913,5,997314302
737,153,2,976153935
996,1779,2,976438352
62,1090,5,977908578
429,162,3,976259563
522,480,3,976197097
549,316,5,976115781
52,589,5,977947339
760,1247,5,975452174
171,858,4,977166323
714,296,5,975534714
53,1219,5,977952986
518,1183,5,980869892
301,161,3,976573851
130,1101,5,977432308
493,1047,4,976216939
453,19,3,976246540
302,1562,1,976504151
889,1590,2,975248825
644,2063,1,975717535
802,22,4,975404319
271,708,3,979881446
510,497,5,976206082
516,357,3,976280052
284,1128,1,976574445
13,592,3,978202377
482,1334,3,976242163
403,1485,3,976304670
326,1573,2,976423850
92,1240,2,986711189
816,1196,3,975388408
156,492,4,977250019
394,377,3,976297192
919,318,4,975204368
151,215,5,993117760
801,1127,3,975469901
208,1961,2,976915686
963,1275,4,975120298
110,1249,3,977514901
731,195,3,975530631
11,1498,3,978221017
390,260,5,976313873
195,1298,5,977458437
712,260,5,975536168
930,50,5,975190047
970,368,2,975978104
881,160,2,975264814
934,355,1,975185334
671,608,5,975628048
637,1961,5,975737996
168,364,3,977177053
329,393,2,977845265
302,89,2,976506357
335,1201,4,976363682
639,1888,4,981089253
233,594,5,976794588
156,1569,4,977250290
33,1834,4,978985055
930,1620,4,975190639
637,2000,4,975736729
937,1035,5,975174629
58,1200,5,977935076
949,1573,5,975141041
791,1943,4,980621152
148,943,4,977334859
783,996,3,975702412
593,62,4,975900371
881,2006,2,975264410
611,1923,4,977155029
481,1278,3,976248794
769,1080,4,975443823
457,1285,4,976234505
702,1265,5,975563925
36,16,3,978211286
839,906,4,980757617
150,1350,4,978163737
945,608,4,975163728
92,367,3,977859777
163,1920,2,978234113
651,1527,3,975706181
889,1129,3,975248309
922,1918,4,975212807
714,575,3,975782894
889,49,3,975254064
18,405,1,978153874
801,105,4,975400216
17,356,5,978159896
165,589,4,977199090
655,446,3,975698153
831,1673,3,975363920
839,1271,4,980998842
265,1230,5,976648751
983,1374,5,975102364
935,1370,5,975182350
678,1407,2,989240974
673,1719,3,975619365
544,1032,4,976125347
524,407,2,976173397
612,1129,3,975814771
173,1293,4,1009653137
524,163,4,976168766
546,70,1,976068509
702,1405,2,975565418
134,2028,5,1009831378
17,1635,4,978160304
715,1291,4,975534244
314,1250,5,976473356
134,1580,4,978037981
922,153,3,975212934
550,1344,4,976163802
725,593,5,975539423
702,1080,3,975563955
692,1748,5,975738954
75,1025,3,977851295
494,243,3,976216510
646,1616,4,975715503
689,440,4,975583723
889,397,3,975364444
806,1265,4,975394158
350,1265,5,976326454
329,1544,2,976394538
435,589,5,976248200
543,733,5,976120914
28,1210,5,978125255
309,318,5,976483092
957,1242,5,977202185
850,503,4,975350454
776,1269,5,975437382
454,1968,4,976488049
303,2028,5,976504761
877,237,3,975271488
873,1649,4,975423927
329,743,3,981750750
134,20,1,978038851
274,1060,5,976595632
247,16,3,976728364
521,903,4,976198767
317,260,4,976461395
123,1263,5,977527167
240,1960,3,976757274
235,1617,5,976771518
937,1653,4,1009672662
563,2018,5,976042708
748,1080,5,975462013
461,1784,4,976228238
444,1131,5,976240147
739,434,5,975477529
957,1672,4,975130021
339,1082,4,976342800
479,1610,4,976219246
368,1785,4,976669611
737,1584,4,1011561369
524,227,3,976170475
727,317,4,975518610
331,2006,4,976385628
262,1073,5,976660985
798,110,5,975409169
457,47,4,976233589
549,2054,4,976117218
543,325,4,976215725
368,345,2,981749167
788,592,4,975430507
137,150,5,1000868615
855,950,4,975466647
735,934,4,975646778
601,480,3,975879720
319,1754,2,976424301
837,34,4,975360920
576,1293,4,975980598
26,736,3,978139735
160,648,2,977219958
117,1196,5,977495516
699,525,4,975563212
47,1956,4,977978641
999,1676,2,975045346
319,2003,3,976422347
640,296,5,975726198
889,1197,3,975250029
